doc_id,chunk_count,source_org,source_type,title,filename
SGG0079,16,SGG,bulletin_officiel,Bulletin Officiel,bo_0079.pdf
SGG0078,14,SGG,bulletin_officiel,Bulletin Officiel,bo_0078.pdf
SGG0028,12,SGG,bulletin_officiel,Bulletin Officiel,bo_0028.pdf
SGG0061,12,SGG,bulletin_officiel,Bulletin Officiel,bo_0061.pdf
SGG0009,9,SGG,bulletin_officiel,Bulletin Officiel,bo_0009.pdf
LABOR65,8,Législation,loi,Code du travail — Loi n° 65-99,loi_65-99_code_travail.pdf
SGG0086,8,SGG,bulletin_officiel,Bulletin Officiel,bo_0086.pdf
www_watiqa_ma,8,Watiqa,admin,Guichet électronique de commande de documents administratifs - Etat Civil,www_watiqa_ma.html
www_watiqa_ma_index_php5_page_common_faq,8,Watiqa,admin,Guichet électronique de commande de documents administratifs - F.A.Q,www_watiqa_ma_index_php5_page_common_faq.html
SGG0048,7,SGG,bulletin_officiel,Bulletin Officiel,bo_0048.pdf
SGG0114,7,SGG,bulletin_officiel,Bulletin Officiel,bo_0114.pdf
www_watiqa_ma_index_php5_page_citoyen_about,6,Watiqa,admin,Guichet électronique de commande de documents administratifs - F.A.Q,www_watiqa_ma_index_php5_page_citoyen_about.html
www_watiqa_ma_index_php5_page_citoyen_faq,6,Watiqa,admin,Guichet électronique de commande de documents administratifs - F.A.Q,www_watiqa_ma_index_php5_page_citoyen_faq.html
www_watiqa_ma_index_php5_page_common_aideenligne,5,Watiqa,admin,Guichet électronique de commande de documents administratifs - Aide en ligne,www_watiqa_ma_index_php5_page_common_aideenligne.html
www_maroc_ma_fr_services_numeriques,4,Maroc.ma,admin,E-Services pour le Grand Public et les Entreprises & Professionnels | Maroc.ma,www_maroc_ma_fr_services_numeriques.html
SGG0016,3,SGG,bulletin_officiel,Bulletin Officiel,bo_0016.pdf
www_watiqa_ma_page_citoyen_guichetacte,3,Watiqa,admin,Guichet électronique de commande de documents administratifs - F.A.Q,www_watiqa_ma_page_citoyen_guichetacte.html
SGG0011,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0011.pdf
SGG0012,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0012.pdf
SGG0013,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0013.pdf
SGG0014,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0014.pdf
SGG0015,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0015.pdf
SGG0017,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0017.pdf
SGG0019,1,SGG,bulletin_officiel,Bulletin Officiel,bo_0019.pdf
