n_gold,is_multi,hr_baseline,hr_graph,mrr_baseline,mrr_graph,f1_baseline,f1_graph
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
57,True,1.0,1.0,0.125,0.1,0.029850746268656716,0.029850746268656716
2,True,0.0,0.0,0.0,0.0,0.0,0.0
10,True,0.0,0.0,0.0,0.0,0.0,0.0
5,True,0.0,0.0,0.0,0.0,0.0,0.0
6,True,1.0,1.0,0.5,0.5,0.37499999999999994,0.37499999999999994
1,False,0.0,0.0,0.0,0.0,0.0,0.0
5,True,0.0,1.0,0.0,0.16666666666666666,0.0,0.26666666666666666
5,True,0.0,0.0,0.0,0.0,0.0,0.0
11,True,1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
12,True,0.0,0.0,0.0,0.0,0.0,0.0
9,True,1.0,1.0,1.0,1.0,0.3157894736842105,0.3157894736842105
4,True,0.0,1.0,0.0,0.1,0.0,0.14285714285714288
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
3,True,1.0,1.0,0.25,0.25,0.15384615384615383,0.15384615384615383
2,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666669,0.16666666666666669
3,True,1.0,1.0,0.5,0.5,0.15384615384615383,0.15384615384615383
2,True,1.0,1.0,0.2,0.25,0.16666666666666669,0.33333333333333337
16,True,1.0,1.0,0.5,0.5,0.23076923076923075,0.3076923076923077
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
5,True,1.0,1.0,0.125,0.125,0.13333333333333333,0.13333333333333333
